latitude,longitude,X,Y,Zone Number,Zone Letter,depth,mag,magMod,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
61.4701,-146.6944,-16329945.91,8734573.219,6,V,30.7,1.4,1.4,ml,,,,0.83,ak,ak02046i4kjj,2020-03-31T00:42:12.536Z,"42km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
19.2166672,-155.3948364,-17298474.06,2180461.65,5,Q,31.8,1.83,1.55288,md,38,159,0.02088,0.13,hv,hv71452107,2020-03-31T00:31:21.550Z,"9km E of Pahala, Hawaii",earthquake,0.73,1.12,0.11,4,automatic,hv,hv
35.9443333,-117.374,-13066013.91,4292964.421,11,S,0.18,0.95,0.95,ml,9,110,0.09086,0.15,ci,ci39121831,2020-03-31T00:12:02.057Z,"20km N of Searles Valley, CA",earthquake,0.37,0.61,0.095,10,automatic,ci,ci
36.6520004,-121.2713318,-13499862.9,4390710.502,10,S,8.41,2.08,1.78688,md,27,136,0.05386,0.09,nc,nc73361945,2020-03-31T00:50:03.160Z,"16km SSE of Tres Pinos, CA",earthquake,0.32,0.68,0.28,27,automatic,nc,nc
35.9025,-117.726,-13105198.37,4287213.802,11,S,4.19,0.58,0.58,ml,13,67,0.07629,0.12,ci,ci39121823,2020-03-31T00:07:00.582Z,"17km ESE of Little Lake, CA",earthquake,0.25,0.73,0.23,7,automatic,ci,ci
60.2033,-152.5433,-16981042.48,8445140.149,5,V,94.8,1.4,1.4,ml,,,,0.56,ak,ak020458dh63,2020-03-30T23:57:43.799Z,"33km SSE of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
66.3466,-149.9833,-16696064.58,9972357.549,6,W,0,1.3,1.3,ml,,,,1.19,ak,ak020458bj72,2020-03-30T23:57:43.307Z,"101km S of Coldfoot, Alaska",earthquake,,0.4,,,automatic,ak,ak
34.6936684,-119.5299988,-13306018.6,4122329.435,11,S,7.54,1.45,1.45,ml,11,91,0.1185,0.19,ci,ci39121815,2020-03-30T23:42:22.831Z,"30km NNE of Montecito, CA",earthquake,0.59,2.24,0.273,5,automatic,ci,ci
66.2917,-150.5054,-16754184.49,9957141.393,5,W,0.8,2.1,2.1,ml,,,,0.92,ak,ak020458adfq,2020-03-30T23:43:08.937Z,"99km ESE of New Allakaket, Alaska",earthquake,,0.3,,,automatic,ak,ak
66.3622,-149.8077,-16676516.88,9976687.338,6,W,0,1.5,1.5,ml,,,,1.15,ak,ak0204589pxd,2020-03-30T23:46:50.072Z,"101km S of Coldfoot, Alaska",earthquake,,0.3,,,automatic,ak,ak
33.9748333,-117.1448333,-13040503.19,4025423.254,11,S,9.06,0.58,0.58,ml,22,72,0.06621,0.17,ci,ci39121807,2020-03-31T00:11:59.939Z,"9km W of Calimesa, CA",earthquake,0.28,0.65,0.142,9,reviewed,ci,ci
35.7623333,-117.5863333,-13089650.75,4267967.887,11,S,2.95,1.3,1.3,ml,11,81,0.05406,0.14,ci,ci39121791,2020-03-30T23:28:10.797Z,"16km W of Searles Valley, CA",earthquake,0.27,0.37,0.156,17,automatic,ci,ci
33.2256667,-116.7381667,-12995233.27,3925295.894,11,S,12.04,1.09,1.09,ml,35,36,0.02009,0.19,ci,ci39121767,2020-03-30T23:10:53.890Z,"3km SE of Lake Henshaw, CA",earthquake,0.23,0.55,0.191,25,automatic,ci,ci
59.9783,-149.9357,-16690765.78,8394908.208,6,V,40.7,1.8,1.8,ml,,,,0.98,ak,ak020457s0h8,2020-03-30T22:56:10.029Z,"30km WSW of Seward, Alaska",earthquake,,1.3,,,automatic,ak,ak
62.1789,-150.39,-16741338.22,8901688.069,5,V,21.9,1.3,1.3,ml,,,,0.49,ak,ak020457ptso,2020-03-30T22:45:57.923Z,"21km SW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
61.0095,-147.0344,-16367794.54,8628004.868,6,V,18.1,1.7,1.7,ml,,,,0.67,ak,ak020457oaun,2020-03-30T22:43:16.968Z,"39km WSW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
63.1533,-151.4647,-16860973.28,9137939.497,5,V,13.1,1.5,1.5,ml,,,,0.75,ak,ak020457n33r,2020-03-30T22:33:24.482Z,"115km NW of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
37.6193333,-118.8726667,-13232844.73,4525789.069,11,S,6.44,0.6,0.4016,md,14,128,0.007721,0.05,nc,nc73361925,2020-03-31T01:28:53.131Z,"10km ESE of Mammoth Lakes, CA",earthquake,0.48,0.58,0.168,12,reviewed,nc,nc
35.8211667,-117.6401667,-13095643.45,4276042.005,11,S,3.71,0.85,0.85,ml,14,71,0.03509,0.14,ci,ci39121711,2020-03-30T22:01:29.329Z,"22km WNW of Searles Valley, CA",earthquake,0.26,0.56,0.183,12,automatic,ci,ci
44.6585,-110.4166667,-12291527.11,5567918.57,12,T,5.41,1.81,1.81,ml,14,187,0.08673,0.06,uu,uu60371482,2020-03-30T22:24:23.450Z,"39km NE of Old Faithful Geyser, Wyoming",earthquake,0.61,1.61,0.45,3,reviewed,uu,uu
62.5746,-152.4152,-16966782.45,8996693.605,5,V,14.5,1.5,1.5,ml,,,,0.85,ak,ak0204574rnz,2020-03-30T21:47:36.355Z,"122km WNW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
38.8297,-117.0453,-13029423.2,4697306.833,11,S,17.5,1.5,1.5,ml,8,171.8,0.108,0.29,nn,nn00720739,2020-03-30T21:56:35.587Z,"73km S of Austin, Nevada",earthquake,,1,,,automatic,nn,nn
35.8203333,-117.6391667,-13095532.13,4275927.59,11,S,6.18,0.56,0.56,ml,8,119,0.03416,0.25,ci,ci39121687,2020-03-30T21:41:52.092Z,"22km WNW of Searles Valley, CA",earthquake,0.65,1.92,0.181,6,automatic,ci,ci
19.1993332,-155.3891602,-17297842.19,2178418.285,5,Q,33.34,1.81,1.53416,md,43,176,0.03878,0.12,hv,hv71451967,2020-03-30T21:36:16.610Z,"9km E of Pahala, Hawaii",earthquake,0.7,0.79,0.16,6,automatic,hv,hv
17.9133,-66.8918,-7446361.114,2027402.952,19,Q,4,2.19,1.88984,md,10,220,0.0631,0.22,pr,pr202009019,2020-03-30T22:10:42.842Z,"6km SSE of Guanica, Puerto Rico",earthquake,0.54,0.62,0.39,2,reviewed,pr,pr
39.1163,-119.7319,-13328494.14,4738344.267,11,S,8.6,0.8,0.8,ml,6,132.36,0.029,0.169,nn,nn00720742,2020-03-30T21:59:07.372Z,"5km NE of Indian Hills, Nevada",earthquake,,1.8,0.08,2,reviewed,nn,nn
17.9681,-66.8701,-7443945.481,2033815.043,19,Q,14,2.28,1.97408,md,10,198,0.0115,0.11,pr,pr2020090018,2020-03-30T21:42:26.345Z,"2km ESE of Maria Antonia, Puerto Rico",earthquake,0.58,0.41,0.32,6,reviewed,pr,pr
37.6464996,-118.9164963,-13237723.82,4529607.72,11,S,4.57,1.21,0.97256,md,15,88,0.01194,0.02,nc,nc73361910,2020-03-31T00:59:02.293Z,"6km E of Mammoth Lakes, CA",earthquake,0.38,0.53,0.15,15,automatic,nc,nc
61.1065,-150.9934,-16808508.4,8650318.289,5,V,53.7,1.5,1.5,ml,,,,0.69,ak,ak020456mebl,2020-03-30T21:11:19.585Z,"49km NNE of Nikiski, Alaska",earthquake,,0.8,,,automatic,ak,ak
61.617,-147.5978,-16430511.94,8768892.609,6,V,9.7,2.1,2.1,ml,,,,0.87,ak,ak020456ly8n,2020-03-30T21:00:36.665Z,"69km ESE of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
38.1423,-117.8617,-13120304.43,4599547.58,11,S,11.5,1,1,ml,6,180.9,0.371,0.1772,nn,nn00720738,2020-03-30T21:34:29.957Z,"56km W of Tonopah, Nevada",earthquake,,18.7,0.01,2,reviewed,nn,nn
61.431,-146.5864,-16317923.41,8725465.796,6,V,33.3,1.5,1.5,ml,,,,0.49,ak,ak020456irbq,2020-03-30T20:46:43.332Z,"35km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
63.4433,-149.7298,-16667845.09,9209783.9,6,V,101.4,1.9,1.9,ml,,,,0.52,ak,ak020456hqhv,2020-03-30T20:41:51.505Z,"39km W of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
47.50166667,-122.6231667,-13650348.48,6024346.747,10,T,-0.43,1.67,1.40312,md,4,340,0.1206,0.02,uw,uw61588287,2020-03-30T20:57:54.330Z,"1km NE of Bethel, Washington",explosion,2.09,31.61,0.528807455,4,reviewed,uw,uw
44.788,-111.5316667,-12415648.34,5588207.943,12,T,10.8,0.67,0.46712,md,10,180,0.084,0.13,mb,mb80387159,2020-03-30T21:01:27.500Z,"36km WNW of West Yellowstone, Montana",earthquake,1.36,1.24,0.755,3,reviewed,mb,mb
19.4925003,-155.656662,-17327620.35,2213006.54,5,Q,-2.58,1.82,1.82,ml,29,91,0.04503,0.27,hv,hv71451902,2020-03-30T20:21:36.420Z,"22km E of Honaunau-Napoopoo, Hawaii",earthquake,0.48,0.42,5.21,3,automatic,hv,hv
59.7622,-153.1862,-17052609.78,8346983.58,5,V,101.8,2.5,2.5,ml,,,,0.6,ak,ak020456cj8k,2020-03-30T21:27:02.040Z,"73km W of Anchor Point, Alaska",earthquake,,0.3,,,automatic,ak,ak
35.8688333,-117.7136667,-13103825.44,4282588.014,11,S,8.43,0.95,0.95,ml,16,66,0.07314,0.19,ci,ci39121575,2020-03-30T20:07:15.038Z,"19km ESE of Little Lake, CA",earthquake,0.38,0.94,0.092,11,automatic,ci,ci
38.7456665,-122.7018356,-13659105.86,4685305.683,10,S,1.27,0.64,0.43904,md,8,141,0.02257,0.04,nc,nc73361895,2020-03-30T19:57:52.957Z,"3km SSW of Anderson Springs, CA",earthquake,0.37,0.69,0.09,3,automatic,nc,nc
61.9385,-150.7163,-16777661.77,8844574.828,5,V,59.4,1.9,1.9,ml,,,,0.38,ak,ak02045609lz,2020-03-30T20:08:10.629Z,"41km WNW of Willow, Alaska",earthquake,,0.8,,,automatic,ak,ak
38.1193333,-122.1815,-13601182.36,4596297.349,10,S,-0.1,1.29,1.04744,md,15,91,0.0257,0.12,nc,nc73361900,2020-03-30T20:51:37.597Z,"5km E of Vallejo, CA",quarry blast,0.31,31.61,0.185,13,reviewed,nc,nc
39.4033333,-110.2975,-12278261.54,4779611.386,12,S,-2.27,1.62,1.35632,md,7,202,0.02979,0.02,uu,uu60371462,2020-03-30T20:41:42.170Z,"18km SSE of East Carbon City, Utah",earthquake,0.65,1.08,0.13,7,reviewed,uu,uu
19.2035,-155.513,-17311627.97,2178909.455,5,Q,34.67,2.25,1.946,md,48,64,0.04657,0.09,hv,hv71451882,2020-03-31T01:44:47.000Z,"6km NW of Pahala, Hawaii",earthquake,0.49,0.64,0.201,21,reviewed,hv,hv
63.4944,-151.3664,-16850030.57,9222518.683,5,V,4.4,1.8,1.8,ml,,,,0.69,ak,ak020455wukf,2020-03-30T19:45:24.543Z,"121km W of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
38.7985001,-122.7463303,-13664058.99,4692849.403,10,S,0.75,0.72,0.51392,md,10,106,0.01067,0.06,nc,nc73361885,2020-03-30T19:36:47.761Z,"2km NNE of The Geysers, CA",earthquake,0.3,0.6,,1,automatic,nc,nc
63.0531,-150.1987,-16720042.8,9113283.004,5,V,2,2.1,2.1,ml,,,,1.08,ak,ak020455vleq,2020-03-30T19:45:24.051Z,"73km WSW of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
18.8863335,-155.2429962,-17281571.29,2141558.086,5,Q,2.65,1.91,1.62776,md,27,262,0.3385,0.36,hv,hv71451872,2020-03-30T19:31:09.190Z,"43km SE of Pahala, Hawaii",earthquake,2.92,3.56,0.42,3,automatic,hv,hv
33.2826667,-116.2638333,-12942430.72,3932883.624,11,S,3.31,0.96,0.96,ml,20,70,0.08824,0.21,ci,ci39121551,2020-03-30T19:26:57.190Z,"11km ENE of Borrego Springs, CA",earthquake,0.33,0.46,0.179,13,automatic,ci,ci
35.6503333,-117.428,-13072025.16,4252613.829,11,S,9.58,0.98,0.98,ml,15,124,0.1354,0.21,ci,ci39121543,2020-03-30T19:26:00.516Z,"13km S of Searles Valley, CA",earthquake,0.53,1.63,0.123,13,automatic,ci,ci
62.979,-150.6601,-16771405.61,9095103.511,5,V,113.8,1.7,1.7,ml,,,,0.26,ak,ak020455s0dz,2020-03-30T19:27:28.111Z,"78km NNW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
46.885,-121.989,-13579753.36,5923323.305,10,T,11.7,1.59,1.59,ml,28,51,0.03053,0.12,uw,uw61588237,2020-03-30T19:43:14.140Z,"21km E of Eatonville, Washington",earthquake,0.23,0.34,0.172958643,15,reviewed,uw,uw
35.7666664,-117.5979996,-13090949.43,4268562.345,11,S,6.08,0.91,0.91,ml,14,221,0.04897,0.11,ci,ci39121487,2020-03-30T18:33:06.317Z,"18km W of Searles Valley, CA",earthquake,1,1,0.166,5,automatic,ci,ci
46.8723333,-112.4836667,-12521624.5,5921260.457,12,T,13.44,1.09,1.09,ml,8,106,0.128,0.13,mb,mb80387104,2020-03-30T20:00:21.770Z,"17km ESE of Lincoln, Montana",earthquake,0.45,0.55,0.08,2,reviewed,mb,mb
35.3143349,-118.5758362,-13199801.71,4206680.475,11,S,9.17,1.21,1.21,ml,16,90,0.1243,0.12,ci,ci39121455,2020-03-30T18:02:58.408Z,"23km NNW of Tehachapi, CA",earthquake,0.29,0.86,0.272,7,automatic,ci,ci
17.9273,-66.888,-7445938.1,2029040.889,19,Q,4,2.6,2.2736,md,9,220,0.0486,0.16,pr,pr2020090017,2020-03-30T18:26:19.706Z,"5km SSE of Guanica, Puerto Rico",earthquake,0.67,0.46,0.02,3,reviewed,pr,pr
36.0068333,-117.828,-13116552.96,4301561.664,11,S,2.33,0.29,0.29,ml,7,100,0.02883,0.02,ci,ci37439741,2020-03-30T20:23:25.731Z,"10km NE of Little Lake, CA",earthquake,0.12,0.14,0.151,3,reviewed,ci,ci
35.7688333,-117.5883333,-13089873.39,4268859.634,11,S,7.79,0.64,0.64,ml,13,95,0.0474,0.16,ci,ci39121447,2020-03-30T20:19:21.941Z,"17km W of Searles Valley, CA",earthquake,0.38,0.62,0.252,5,reviewed,ci,ci
37.4906667,-118.8591667,-13231341.91,4507721.872,11,S,5.15,0.72,0.51392,md,15,233,0.102,0.05,nc,nc73361870,2020-03-30T21:26:02.752Z,"18km WSW of Toms Place, CA",earthquake,0.52,2.09,0.162,13,reviewed,nc,nc
17.8793,-66.8483,-7441518.716,2023425.645,19,Q,15,2.86,2.51696,md,16,242,0.1007,0.15,pr,pr2020090016,2020-03-30T18:06:57.666Z,"11km SSE of Maria Antonia, Puerto Rico",earthquake,0.59,0.66,0.33,6,reviewed,pr,pr
37.921,-121.9551667,-13575987.06,4568271.766,10,S,-0.27,0.87,0.65432,md,10,113,0.02876,0.05,nc,nc73361865,2020-03-31T01:24:22.434Z,"3km SW of Clayton, CA",quarry blast,0.21,31.61,0.243,8,reviewed,nc,nc
39.5977,-119.7595,-13331566.56,4807652.207,11,S,9,0.3,0.3,ml,8,154.91,0.041,0.1183,nn,nn00720735,2020-03-30T20:48:24.198Z,"1km E of Sun Valley, Nevada",earthquake,,1.3,0.28,4,reviewed,nn,nn
61.6314,-146.4417,-16301815.47,8772265.553,6,V,19.9,1.8,1.8,ml,,,,0.83,ak,ak020454pv3w,2020-03-30T17:41:54.244Z,"56km N of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
39.4066667,-123.251,-13720238.56,4780091.628,10,S,9.47,1.5,1.244,md,16,111,0.07327,0.1,nc,nc73361855,2020-03-31T01:21:20.630Z,"9km E of Willits, CA",earthquake,0.27,0.57,0.177,15,reviewed,nc,nc
36.5766678,-121.1374969,-13484964.47,4380262.863,10,S,10.35,1.3,1.0568,md,6,164,0.03888,0.07,nc,nc73361845,2020-03-30T19:12:05.704Z,"5km N of Pinnacles, CA",earthquake,0.87,1.74,0.34,5,automatic,nc,nc
18.888,-66.2625,-7376307.759,2141754.157,19,Q,36,3.22,2.85392,md,16,265,0.49,0.4,pr,pr2020090015,2020-03-30T18:39:12.326Z,"47km N of Dorado, Puerto Rico",earthquake,1.5,5.14,0.15,11,reviewed,pr,pr
33.4703333,-116.3598333,-12953117.39,3957900.543,11,S,7.49,1,1,ml,32,88,0.1156,0.22,ci,ci39121375,2020-03-30T20:07:43.500Z,"22km SSW of La Quinta, CA",earthquake,0.32,1.54,0.138,23,reviewed,ci,ci
40.7286667,-112.0698333,-12475556.78,4972402.067,12,T,10.59,0.55,0.3548,md,12,75,0.0256,0.07,uu,uu60371432,2020-03-30T20:36:01.070Z,"3km NE of Magna, Utah",earthquake,0.35,0.81,0.326,5,reviewed,uu,uu
40.7311667,-112.0651667,-12475037.29,4972769.316,12,T,10.07,1.34,1.34,ml,19,79,0.02265,0.1,uu,uu60371427,2020-03-30T20:24:08.050Z,"3km NE of Magna, Utah",earthquake,0.32,0.71,0.314,2,reviewed,uu,uu
38.776001,-122.7128296,-13660329.7,4689636.239,10,S,1.84,1.01,0.78536,md,13,83,0.01316,0.02,nc,nc73361835,2020-03-30T17:49:03.147Z,"2km W of Anderson Springs, CA",earthquake,0.23,0.41,0.03,3,automatic,nc,nc
17.939,-66.892,-7446383.378,2030409.835,19,Q,5,2.69,2.35784,md,17,195,0.0383,0.22,pr,pr2020090014,2020-03-30T17:29:15.352Z,"3km SSE of Guanica, Puerto Rico",earthquake,0.59,0.41,0.41,5,reviewed,pr,pr
46.928,-112.5005,-12523498.37,5930329.748,12,T,7.19,1.27,1.27,ml,8,128,0.11,0.21,mb,mb80387069,2020-03-30T17:20:24.480Z,"14km ESE of Lincoln, Montana",earthquake,1,2.09,0.029,2,reviewed,mb,mb
46.6411667,-113.4803333,-12632572.92,5883698.771,12,T,4.22,1.51,1.51,ml,16,76,0.205,0.18,mb,mb80387059,2020-03-30T17:16:46.330Z,"22km SE of Clinton, Montana",earthquake,0.48,10.48,0.058,2,reviewed,mb,mb
33.6518333,-116.708,-12991875.13,3982147.007,11,S,13.81,0.65,0.65,ml,19,58,0.0594,0.15,ci,ci39121359,2020-03-30T17:03:20.287Z,"10km S of Idyllwild, CA",earthquake,0.42,0.51,0.093,9,automatic,ci,ci
63.5616,-149.0624,-16593550.46,9239300.509,6,V,73.3,1.5,1.5,ml,,,,0.58,ak,ak0204548uts,2020-03-30T17:02:37.032Z,"19km NNW of Cantwell, Alaska",earthquake,,1,,,automatic,ak,ak
35.8965,-117.743,-13107090.8,4286389.261,11,S,6.82,0.88,0.88,ml,16,59,0.08038,0.15,ci,ci39121351,2020-03-30T17:02:08.862Z,"15km ESE of Little Lake, CA",earthquake,0.27,0.66,0.202,14,automatic,ci,ci
44.4576667,-110.5776667,-12309449.55,5536542.495,12,T,3.01,1.02,0.79472,md,5,143,0.02195,0.06,uu,uu60371417,2020-03-30T21:06:12.200Z,"19km E of Old Faithful Geyser, Wyoming",earthquake,0.62,0.75,0.622,3,reviewed,uu,uu
35.369,-118.1675,-13154345.93,4214140.526,11,S,10.09,1.07,1.07,ml,12,87,0.1687,0.1,ci,ci39121335,2020-03-30T16:54:00.808Z,"32km NNW of California City, CA",earthquake,0.21,0.68,0.147,9,automatic,ci,ci
60.34,-147.1547,-16381186.27,8475827.296,6,V,20.3,1.9,1.9,ml,,,,1.17,ak,ak0204546c0q,2020-03-30T16:52:24.753Z,"80km WSW of Cordova, Alaska",earthquake,,0.4,,,automatic,ak,ak
17.9505,-66.8341,-7439937.98,2031755.469,19,Q,9,3.15,2.7884,md,20,188,0.0514,0.29,pr,pr2020090013,2020-03-30T18:15:13.040Z,"8km SE of Guanica, Puerto Rico",earthquake,0.71,0.64,0.23,17,reviewed,pr,pr
63.3006,-149.7302,-16667889.62,9174341.146,6,V,98.5,1.4,1.4,ml,,,,0.72,ak,ak02045459ex,2020-03-30T16:46:02.814Z,"40km WSW of Cantwell, Alaska",earthquake,,1.1,,,automatic,ak,ak
38.7883339,-122.7689972,-13666582.25,4691397.412,10,S,1.45,0.4,0.2144,md,12,82,0.01426,0.03,nc,nc73361820,2020-03-30T17:54:02.359Z,"2km NW of The Geysers, CA",earthquake,0.27,0.55,0.16,2,automatic,nc,nc
60.4034,-151.0034,-16809621.6,8490103.324,5,V,16.2,1.7,1.7,ml,,,,0.73,ak,ak0204544cy0,2020-03-30T16:44:22.057Z,"9km SSE of Soldotna, Alaska",earthquake,,0.3,,,automatic,ak,ak
41.4776667,-112.2985,-12501011.84,5083054.757,12,T,1.83,0.24,0.06464,md,4,196,0.1196,0.15,uu,uu60371407,2020-03-30T21:01:57.870Z,"22km W of Perry, Utah",earthquake,2.05,9.52,0.144,4,reviewed,uu,uu
58.8843,-150.646,-16769836.01,8155421.587,5,V,36,2.2,2.2,ml,,,,0.68,ak,ak0204541l4j,2020-03-30T16:42:41.033Z,"98km SSE of Homer, Alaska",earthquake,,3.3,,,automatic,ak,ak
61.0006,-140.1904,-15605923.94,8625960.97,7,V,0,1.8,1.8,ml,,,,0.79,ak,ak020453zpfy,2020-03-30T16:42:40.611Z,"148km WNW of Haines Junction, Canada",earthquake,,0.3,,,automatic,ak,ak
58.8062,-157.265,-17506659.72,8138616.649,4,V,0,2,2,ml,,,,0.47,ak,ak020453z9z8,2020-03-30T16:24:26.941Z,"37km WNW of King Salmon, Alaska",earthquake,,0.4,,,automatic,ak,ak
46.9051667,-112.5028333,-12523758.12,5926608.578,12,T,18.45,-0.53,-0.65608,md,8,123,0.109,0.17,mb,mb80387124,2020-03-30T19:55:12.990Z,"14km ESE of Lincoln, Montana",earthquake,1.39,1.03,,1,reviewed,mb,mb
17.9206,-66.8906,-7446227.531,2028257.003,19,Q,5,4.22,3.78992,md,21,203,0.0557,0.13,pr,pr2020090012,2020-03-31T01:03:16.560Z,"12km S of Guanica, Puerto Rico",earthquake,0.51,0.29,0.27,15,reviewed,pr,pr
36.9413333,-121.2976667,-13502794.49,4430932.558,10,S,7.17,0.78,0.57008,md,18,117,0.03886,0.06,nc,nc73361815,2020-03-31T01:17:50.128Z,"14km NE of Hollister, CA",earthquake,0.24,0.47,0.151,13,reviewed,nc,nc
33.3511667,-116.3563333,-12952727.77,3942008.772,11,S,7.6,1,1,ml,33,41,0.04068,0.21,ci,ci39121247,2020-03-30T16:23:05.569Z,"11km N of Borrego Springs, CA",earthquake,0.29,0.72,0.156,20,reviewed,ci,ci
66.3741,-157.2026,-17499713.38,9979992.001,4,W,1.8,1.7,1.7,ml,,,,0.69,ak,ak020453hh1t,2020-03-30T15:40:06.817Z,"61km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
39.0159988,-123.0588303,-13698846.33,4723963.523,10,S,4.62,1.76,1.48736,md,15,78,0.02482,0.09,nc,nc73361800,2020-03-30T16:35:03.439Z,"13km WSW of Lakeport, CA",earthquake,0.33,0.68,0.13,12,automatic,nc,nc
64.9996,-147.287,-16395913.84,9608266.149,6,W,0,1.5,1.5,ml,,,,0.67,ak,ak020453e9gd,2020-03-30T15:20:23.227Z,"25km NNE of Badger, Alaska",earthquake,,0.3,,,automatic,ak,ak
62.8289,-150.0695,-16705660.32,9058419.206,5,V,81.8,1.4,1.4,ml,,,,0.22,ak,ak020453dtba,2020-03-30T15:18:42.474Z,"56km N of Talkeetna, Alaska",earthquake,,1.2,,,automatic,ak,ak
40.7336667,-112.0448333,-12472773.79,4973136.578,12,T,8.09,0.63,0.42968,md,16,62,0.009556,0.1,uu,uu60371402,2020-03-30T16:10:01.220Z,"5km NW of West Valley City, Utah",earthquake,0.3,0.66,0.446,5,reviewed,uu,uu
19.2148342,-155.4004974,-17299104.24,2180245.562,5,Q,32.48,2.11,2.11,ml,55,151,0.02273,0.12,hv,hv71451582,2020-03-30T17:17:35.562Z,"8km E of Pahala, Hawaii",earthquake,0.52,0.73,4.09,5,automatic,hv,hv
39.1241,-119.7457,-13330030.35,4739463.454,11,S,8.1,0.3,0.3,ml,3,156.63,0.039,0.0535,nn,nn00720734,2020-03-30T20:36:03.077Z,"4km SSE of Carson City, Nevada",earthquake,,8.8,0,1,reviewed,nn,nn
33.9226667,-116.85,-13007682.5,4018422.774,11,S,6.65,0.82,0.82,ml,18,49,0.09905,0.2,ci,ci39121183,2020-03-30T14:35:18.646Z,"2km E of Banning, CA",earthquake,0.4,1.42,0.323,18,automatic,ci,ci
37.3521667,-118.6651667,-13209745.93,4488308.626,11,S,4.51,1.16,0.92576,md,5,222,0.08121,0.06,nc,nc73361795,2020-03-31T01:14:19.315Z,"9km SW of Round Valley, CA",earthquake,1.93,4.56,0.148,8,reviewed,nc,nc
